IDINDEX,LATITUDE,LONGITUDE,MASL,SECONDS,STEPLENGTH,DATETIME,TrailRank
1500234,-15.20656,-72.95026,2531.578,3,2.417601,2007/07/15 12:13:16+00,0
1500235,-15.20655,-72.95028,2531.573,3,1.542575,2007/07/15 12:13:19+00,0
1500236,-15.20654,-72.95029,2531.556,3,1.074747,2007/07/15 12:13:22+00,0
1500237,-15.20654,-72.9503,2531.54,3,1.542648,2007/07/15 12:13:25+00,0
1500238,-15.20653,-72.95031,2531.503,3,2.46053,2007/07/15 12:13:28+00,0
1500239,-15.20651,-72.95032,2531.463,3,0,2007/07/15 12:13:31+00,0
1500240,-15.20651,-72.95032,2531.425,3,1.542648,2007/07/15 12:13:34+00,0
1500241,-15.2065,-72.95033,2531.395,3,1.074647,2007/07/15 12:13:37+00,0
1500242,-15.2065,-72.95034,2531.402,3,1.074647,2007/07/15 12:13:40+00,0
1500243,-15.2065,-72.95033,2531.421,3,0,2007/07/15 12:13:43+00,0
1500244,-15.2065,-72.95033,2531.444,3,1.074647,2007/07/15 12:13:46+00,0
1500245,-15.2065,-72.95032,2531.474,3,1.106748,2007/07/15 12:13:49+00,0
1500246,-15.20651,-72.95032,2531.459,3,1.106748,2007/07/15 12:13:52+00,0
1500247,-15.2065,-72.95032,2531.423,3,0,2007/07/15 12:13:55+00,0
1500248,-15.2065,-72.95032,2531.365,3,0,2007/07/15 12:13:58+00,0
1500249,-15.2065,-72.95032,2531.354,3,1.074747,2007/07/15 12:14:01+00,0
1500250,-15.2065,-72.95031,2531.357,3,1.074747,2007/07/15 12:14:04+00,0
1500251,-15.2065,-72.95032,2531.378,3,0,2007/07/15 12:14:07+00,0
1500252,-15.2065,-72.95032,2531.397,3,1.106748,2007/07/15 12:14:10+00,0
1500253,-15.20649,-72.95032,2531.399,3,1.542648,2007/07/15 12:14:13+00,0
1500254,-15.20648,-72.95033,2531.396,3,11.11926,2007/07/15 12:14:16+00,0
1500255,-15.20638,-72.95034,2531.756,3,7.747141,2007/07/15 12:14:19+00,0
1500256,-15.20631,-72.95034,2532.751,3,1.074647,2007/07/15 12:14:22+00,0
1500257,-15.20631,-72.95035,2532.945,3,3.408683,2007/07/15 12:14:25+00,0
1500258,-15.2063,-72.95038,2533.219,3,1.074647,2007/07/15 12:14:28+00,0
1500259,-15.2063,-72.95039,2533.626,3,2.417601,2007/07/15 12:14:31+00,0
1500260,-15.20629,-72.95041,2534.027,3,3.489764,2007/07/15 12:14:34+00,0
1500261,-15.20626,-72.95042,2534.683,3,2.460488,2007/07/15 12:14:37+00,0
1500262,-15.20624,-72.95043,2534.656,3,2.417601,2007/07/15 12:14:40+00,0
1500263,-15.20623,-72.95045,2534.932,3,3.085293,2007/07/15 12:14:43+00,0
1500264,-15.20621,-72.95047,2535.475,3,1.106748,2007/07/15 12:14:46+00,0
1500265,-15.2062,-72.95047,2535.345,3,0,2007/07/15 12:14:49+00,0
1500266,-15.2062,-72.95047,2535.131,3,2.417601,2007/07/15 12:14:52+00,0
1500267,-15.20619,-72.95049,2535.182,3,2.149393,2007/07/15 12:14:55+00,0
1500268,-15.20619,-72.95051,2535.825,3,4.55549,2007/07/15 12:14:58+00,0
